"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"22","2011-04-06",0,0,0.023,0,0.0028,0,0.0533,0,0.0015,0.0044,0.011,0,0,0.0972,0.002,0,0.0032,0.0036,0,0,0,0,0.002,0.001,0.044,0,0.0194,0.001,0,0,1.23,0.03,0.044,2.58,1.95,0.91,2.11,8.2
"23","2011-04-09",0,0,0.069,0,0.0035,0,0.0794,0,0.002,0.0051,0.0198,0,0,0.166,0.0037,0,0.0046,0.0095,0,0,0,0,0,0.0065,0.069,0,0.0366,0,0,0.002,3.45,0.08,0.059,8.12,2.95,1.54,3.62,20.8
"24","2011-04-12",0,0,0,0,0.0031,0,0.0433,0.001,0.0015,0.001,0.007,0,0,0.0851,0,0,0.0022,0.0031,0,0,0,0,0.002,0,0.056,0,0.0082,0,0,0,0.364,0.03,0.024,0.395,1.84,0.752,1.25,5.5
"25","2011-04-15",0,0,0.03,0,0.0024,0,0.0546,0,0.001,0.0028,0.098,0,0,0.14,0,0,0.0045,0.0029,0.013,0,0,0,0.004,0,0.064,0.014,0.0077,0.001,0,0,0.524,0.233,0.035,0.672,1.78,0.764,1.31,6.7
"26","2011-04-21",0.004,0.001,0.001,0,0.0018,0,0.0394,0,0.001,0.002,0.005,0,0,0.0934,0.002,0,0,0.001,0,0,0,0,0.004,0,0.054,0,0.0098,0,0,0,0.698,0.02,0,0.233,1.69,0.621,1.82,6.7
"27","2011-04-24",0.004,0.001,0.047,0,0.005,0,0.0508,0.001,0.001,0.007,0.0218,0,0,0.165,0.002,0.034,0,0.0044,0.007,0,0.001,0,0.001,0.0084,0.074,0,0.0166,0,0.001,0,1.56,0.15,0.091,2.59,4.63,1.55,3.37,17.3
"28","2011-04-27",0.019,0,0,0,0.0022,0,0.0694,0,0,0.0065,0.03,0,0,0.195,0.002,0,0.0021,0.0045,0.047,0,0,0,0.003,0.0072,0.0459,0.007,0.0163,0,0,0,0.458,0.545,0.039,1.05,2.19,0.983,1.8,9.4
"29","2011-04-30",0,0,0,0,0,0,0.0244,0.007,0.001,0.0046,0.004,0,0,0.151,0,0,0.002,0.0042,0,0,0,0,0.004,0.005,0.027,0,0.0087,0,0,0,0.461,0.02,0,0.478,1.87,0.663,1.22,5.7
"30","2011-05-03",0.022,0.001,0.048,0,0.0051,0,0.0747,0,0.0022,0.0057,0.0437,0,0.002,0.249,0,0,0.0038,0.0045,0.03,0,0,0,0.003,0.0084,0.075,0,0.018,0,0,0,1.42,0.29,0,2.62,4.16,1.46,2.73,13.1
"31","2011-05-06",0,0.001,0.076,0,0.0052,0,0.0605,0.004,0.001,0.005,0.0208,0,0,0.158,0.0043,0,0.0022,0.0071,0.006,0,0,0,0.001,0.0208,0.101,0,0.0228,0.001,0,0,1.07,0.0898,0.032,1.07,3.2,1.38,2.64,11.5
"32","2011-05-12",0.021,0,0.022,0.001,0.002,0,0.0499,0,0.002,0.001,0,0,0,0.158,0,0.015,0.001,0.0044,0,0,0.002,0.009,0.0047,0.0055,0.061,0.008,0.01,0.001,0,0.002,0.452,0.154,0.0248,1.21,2.33,1.27,1.15,7.9
"33","2011-05-15",0.012,0,0,0.001,0.0046,0.012,0.0443,0.001,0,0.002,0.023,0,0.003,0.175,0.001,0.008,0,0.0029,0.03,0,0.002,0.012,0.003,0.0054,0.0517,0.005,0.007,0.001,0.001,0.004,1.07,0.353,0.0631,1.79,3.51,0.921,2.41,14.7
"34","2011-05-18",0.018,0,0.005,0,0.0027,0.015,0.069,0.004,0,0.002,0.031,0.001,0.004,0.229,0.002,0.006,0.001,0.0029,0,0.004,0.001,0.013,0.003,0.001,0.0342,0.012,0.017,0,0.001,0.002,0.088,0.326,0.037,0.766,1.79,0.978,0.903,6
"35","2011-05-21",0.04,0,0.043,0,0.0059,0,0.0402,0.006,0.0015,0.0086,0.0222,0,0,0.211,0.002,0.009,0.0028,0.0062,0.003,0,0,0,0.002,0.0116,0.049,0,0.0179,0,0,0,2.7,0.05,0.052,6.79,3.82,1.94,2.79,17
"36","2011-05-24",0,0,0.05,0,0.0037,0,0.0531,0,0.0016,0.0035,0.019,0,0,0.166,0.002,0.006,0.0045,0.0058,0.003,0,0.001,0,0.002,0.012,0.066,0,0.0212,0,0.001,0,2.13,0.141,0.0657,1.96,4.4,2.15,5.1,20
"37","2011-05-27",0,0.0029,0.087,0.004,0.0061,0,0.102,0.002,0.001,0.0075,0.0392,0,0,0.266,0,0,0.0021,0.0063,0.038,0,0.001,0,0.003,0.0116,0.127,0,0.0255,0,0,0,2.75,0.363,0.0953,4.66,5.22,2.24,5.07,21.7
"38","2011-06-05",0,0.001,0,0,0.001,0,0.0243,0,0.001,0.0027,0.006,0,0,0.107,0,0,0.002,0.0018,0,0,0,0,0,0.003,0.0179,0,0.008,0.0034,0,0,0.093,0.139,0.0221,0.461,2.1,0.489,0.694,5.9
"39","2011-06-08",0.009,0.0038,0.105,0.003,0.005,0,0.0822,0.001,0.001,0.0106,0.0213,0,0.005,0.164,0,0,0.0036,0.0043,0,0,0.002,0,0.002,0.0141,0.127,0,0.0204,0,0.001,0.0047,2.96,0.119,0.0663,1.81,6.23,3.66,7.43,29.5
"40","2011-06-11",0,0,0.01,0,0.0015,0,0.0281,0.004,0,0.0028,0.0088,0,0.005,0.136,0.001,0.025,0.001,0.0021,0,0,0,0,0,0.0039,0.022,0,0.0081,0,0,0,0.648,0.128,0.0221,0.899,2.15,0.704,1.89,8.4
"41","2011-06-14",0.023,0,0,0.002,0.002,0,0.0276,0,0,0.0041,0.003,0,0,0.126,0.002,0,0.0026,0.002,0.006,0,0,0,0,0.001,0.031,0,0.0165,0,0,0.001,0.239,0.173,0.079,0.811,2.3,1.1,0.92,6.2
"42","2011-06-17",0.02,0,0.03,0,0.0022,0,0.0512,0,0.001,0.0069,0.0151,0,0,0.142,0.001,0,0.0022,0.0037,0,0,0,0,0.001,0.0091,0.034,0,0.0245,0,0,0,0.897,0.174,0.064,1.24,3.37,1.55,2.45,12.6
"43","2011-06-23",0,0,0.037,0.001,0.004,0,0.0374,0.001,0.0021,0.0062,0.11,0,0.006,0.274,0.004,0,0.001,0.0027,0,0,0,0,0.005,0.0051,0.037,0,0.0269,0,0,0.0058,2.54,0.114,0.0402,4.85,3.03,1.81,3.38,23.1
"44","2011-06-26",0,0,0.029,0,0.002,0,0.023,0.002,0,0.0026,0.0088,0,0,0.109,0.003,0,0.0019,0.0016,0,0,0,0,0,0.001,0.027,0,0.0061,0.001,0,0,1.15,0.043,0.043,0.36,2.69,0.734,3.58,12.4
"45","2011-06-29",0,0,0.06,0.001,0.002,0,0.0298,0.002,0.001,0.0025,0.0069,0,0.006,0.118,0.002,0,0.001,0.0013,0,0,0,0,0.002,0,0.026,0,0.0056,0.001,0,0,0.751,0.0744,0.0339,0.448,2.88,0.847,2.46,10.1
"46","2011-07-02",0,0.00115,0,0,0.0039,0,0.035,0.002,0,0.0095,0.0081,0,0,0.111,0,0,0.0021,0.0056,0.003,0,0,0,0.003,0.0099,0.0313,0,0.0216,0,0,0,0.366,0.06,0.239,0.801,3.97,1.5,1.6,11.4
"47","2011-07-08",0.027,0,0.048,0.0105,0.002,0,0.0502,0.002,0.0015,0.008,0.0179,0,0,0.188,0,0,0.0038,0.0048,0.0141,0,0.001,0,0.001,0.009,0.074,0,0.0193,0.001,0,0,2.44,0.09,0.085,1.61,4.02,2.39,6.31,22.3
