"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"23","2013-04-04",0,0,0.027,0,0.003,0,0.0342,0.001,0.0017,0.0033,0.006,0,0,0.0784,0.001,0.009,0.002,0.002,0,0,0,0.015,0.002,0.001,0.062,0,0.0108,0,0,0.004,0.9,0.068,0,2.43,1.97,0.777,1.58,7
"24","2013-04-07",0,0,0.014,0,0.0032,0,0.0265,0.001,0,0.0019,0.099,0,0,0.0536,0.001,0,0,0.004,0.021,0,0,0,0,0.002,0.058,0,0.0038,0,0,0,0.369,0.53,0.1,0.87,1.54,0.313,1.28,5.2
"25","2013-04-10",0,0,0,0,0.0051,0.007,0.078,0.001,0.0019,0.0078,0.0264,0,0,0.258,0.002,0,0.006,0.004,0,0,0,0.004,0.0106,0.001,0.117,0,0.022,0,0,0,1.28,0.232,0.026,3.62,3.43,1.64,2.21,14.3
"26","2013-04-13",0.011,0,0.004,0,0.001,0,0.0154,0.002,0,0.0032,0.003,0,0,0.104,0,0,0.001,0.006,0,0,0,0,0.002,0,0.0283,0,0.0138,0,0,0,0.786,0.0649,0.0291,2.32,2.56,0.825,0.908,7
"27","2013-04-16",0.005,0,0.005,0.002,0.002,0,0.0292,0.002,0,0.002,0.005,0,0.003,0.0824,0,0,0.001,0,0.015,0,0.001,0.007,0.0046,0.001,0.0317,0,0.006,0,0,0.002,0.249,0.269,0,0.739,1.94,0.687,1.07,5.9
"28","2013-04-19",0,0.001,0.007,0,0,0,0.0202,0,0,0.0041,0.0158,0,0,0.105,0,0,0.003,0.003,0.0162,0,0,0,0.0046,0.001,0.034,0,0.0073,0,0,0,0.456,0.34,0.064,1.23,1.62,0.826,1.67,6.4
"29","2013-04-25",0,0,0.001,0,0.0032,0,0.024,0.001,0,0.002,0.003,0,0,0.0876,0.001,0,0.002,0.001,0,0,0,0,0.0078,0,0.0949,0,0.0064,0,0,0,0.533,0.044,0,0.492,1.52,0.626,1.44,5.7
"30","2013-04-28",0,0,0.055,0.002,0.0053,0,0.0256,0,0,0.0038,0.009,0,0,0.0677,0.001,0,0.001,0.003,0,0,0,0,0.001,0.001,0.087,0,0.005,0,0,0,1.23,0.06,0.031,1.88,2.48,0.812,2.2,9.3
"31","2013-05-04",0,0,0,0.008,0.0028,0.002,0.0303,0,0.001,0.0034,0.225,0,0.009,0.0853,0,0,0.001,0.003,0.054,0,0,0,0,0.002,0.031,0.001,0.0057,0,0,0,0.412,0.573,0.02,1.74,2.13,0.533,1.18,7.8
"32","2013-05-07",0,0,0,0,0.0027,0.014,0.0294,0.002,0,0.0073,0.0278,0,0,0.201,0,0,0.003,0.001,0,0,0.0015,0,0.004,0,0.0555,0,0.0084,0,0,0,0.201,0.21,0.02,1.38,2.04,1.05,0.811,6.8
"33","2013-05-10",0,0,0,0,0.0042,0,0.0153,0.004,0.001,0.0087,0.007,0,0,0.125,0.004,0,0.002,0.004,0,0,0.001,0,0,0.001,0.0491,0,0.0179,0,0,0,1.4,0.07,0.024,2.31,2.99,1.84,2.75,11.7
"34","2013-05-16",0.024,0.001,0.056,0.005,0.0037,0,0.0575,0.001,0,0.009,0.004,0,0.003,0.179,0,0,0,0.005,0,0,0,0.002,0.0085,0.0023,0.134,0.004,0.014,0.002,0,0.002,0.91,0.12,0.094,1.63,3.88,2.26,1.95,13.4
"35","2013-05-19",0.018,0,0.006,0,0.0015,0,0.013,0.005,0.001,0.001,0.0094,0.001,0,0.111,0.002,0,0.001,0.001,0,0,0,0,0.002,0,0.015,0,0.0027,0,0.001,0,0.053,0.11,0.074,0.664,2,0.505,0.51,5.1
"36","2013-05-22",0,0,0.014,0,0.006,0,0.0439,0.005,0.001,0.0081,0.02,0,0,0.255,0.003,0,0.003,0.003,0.019,0,0,0,0.0055,0.002,0.0907,0,0.0173,0,0,0,2.36,0.304,0.032,3.93,5.17,1.92,4.24,19.3
"37","2013-05-25",0,0,0,0,0,0.001,0,0.002,0,0.001,0,0,0,0.0535,0,0,0,0,0,0,0,0,0,0,0.0129,0,0,0,0,0,0.02,0.021,0,0.219,1.38,0.279,0.164,2.3
"38","2013-07-06",0,0.002,0.036,0,0,0,0.0222,0.002,0,0.0053,0.005,0,0,0.0991,0,0,0.003,0.001,0.005,0,0,0,0.003,0.002,0.129,0.005,0.004,0,0,0,0.501,0.117,0.092,0.571,3.05,0.981,2.35,11.6
"39","2013-07-27",0,0,0.005,0,0.0028,0,0.0234,0.006,0,0.002,0.0108,0,0,0.0816,0.005,0,0.001,0.003,0.001,0,0,0,0.002,0.0049,0.04,0,0.0065,0,0.001,0,0.664,0.059,0.025,1.06,3.02,1.07,1.78,10.8
"40","2013-07-30",0,0,0.003,0,0.001,0,0.0091,0.005,0,0.0022,0.006,0,0,0.121,0.001,0,0.002,0.001,0,0,0,0,0,0,0.0402,0,0.0083,0,0,0,0.589,0.08,0.037,0.444,2.32,0.921,1.82,8.4
"41","2013-08-02",0,0.002,0.074,0,0.0026,0,0.0131,0.006,0,0.0053,0.006,0.001,0.002,0.135,0,0,0.001,0.003,0,0,0,0,0.001,0,0.032,0,0.0066,0.001,0,0,0.867,0.0285,0.02,0.905,2.89,1.33,2.56,11.6
"42","2013-08-08",0,0,0.024,0.001,0.004,0,0.0112,0.001,0,0.0035,0.012,0,0,0.0796,0,0,0,0.002,0,0,0,0.008,0,0,0.013,0,0.003,0,0.001,0,0.475,0.177,0.02,0.67,2.49,1.13,1.73,10.1
"43","2013-08-11",0,0,0.002,0,0.0013,0,0.004,0.001,0.001,0.0032,0.002,0,0,0.0763,0.002,0,0.001,0.002,0,0,0,0.021,0,0,0.0211,0,0.0042,0,0,0,0.127,0.042,0.02,0.343,2.61,0.689,0.769,7.3
"44","2013-08-14",0,0,0,0,0.0014,0,0.007,0.002,0,0.001,0.002,0,0,0.103,0,0,0.002,0,0,0,0,0,0,0,0.0327,0,0.0052,0,0,0,0.168,0.04,0.023,0.235,2.2,0.79,0.51,6.9
"45","2013-08-17",0.028,0,0.005,0.01,0.004,0.001,0.0283,0,0,0.004,0.007,0,0,0.091,0.003,0.003,0.004,0.005,0,0,0.001,0.009,0.0044,0.0029,0.0259,0.004,0.007,0.001,0,0.002,0.599,0.045,0.026,0.959,3.36,1.31,1.65,12.5
"46","2013-08-20",0.005,0,0.03,0.007,0.004,0,0.06,0,0.001,0.012,0.011,0,0.003,0.143,0.003,0.004,0.005,0.004,0,0,0.001,0.002,0.0079,0.0029,0.067,0.002,0.031,0,0,0.002,1.13,0.0389,0,1.38,3.98,2.21,2.82,15.9
"47","2013-08-23",0,0,0,0,0.002,0,0.0274,0,0.001,0.0032,0.004,0,0,0.0895,0.002,0,0.003,0.001,0.005,0,0.001,0.002,0,0.001,0.053,0,0.0097,0,0,0,0.554,0.0289,0,0.414,2.7,0.902,2.1,11.2
